"id_delito","tipo","uso_arma","barrio"
"45440","Robo","NO","PALERMO"
"45443","Robo","NO","PALERMO"
"45444","Robo","NO","PALERMO"
"45446","Robo","NO","PALERMO"
"45450","Robo","NO","PALERMO"
"45451","Robo","NO","PALERMO"
"45453","Robo","NO","PALERMO"
"45458","Robo","NO","PALERMO"
"45459","Robo","NO","PALERMO"
"45460","Robo","NO","PALERMO"
"45461","Robo","NO","PALERMO"
"45462","Robo","NO","PALERMO"
"45463","Robo","NO","PALERMO"
"45466","Robo","NO","PALERMO"
"45467","Robo","NO","PALERMO"
"45472","Robo","NO","PALERMO"
"45473","Robo","NO","PALERMO"
"45474","Robo","NO","PALERMO"
"45475","Robo","NO","PALERMO"
"45479","Robo","NO","PALERMO"
"45482","Robo","NO","PALERMO"
"45491","Robo","NO","PALERMO"
"45492","Robo","NO","PALERMO"
"45493","Robo","NO","PALERMO"
"45494","Robo","NO","PALERMO"
"45496","Robo","NO","PALERMO"
"45497","Robo","NO","PALERMO"
"45498","Robo","NO","PALERMO"
"45499","Robo","NO","PALERMO"
"45507","Robo","NO","PALERMO"
"45508","Robo","NO","PALERMO"
"45509","Robo","NO","PALERMO"
"45510","Robo","NO","PALERMO"
"45513","Robo","NO","PALERMO"
"45514","Robo","NO","PALERMO"
"45517","Robo","NO","PALERMO"
"45519","Robo","NO","PALERMO"
"45520","Robo","NO","PALERMO"
"45523","Robo","NO","PALERMO"
"45526","Robo","NO","PALERMO"
"45532","Robo","NO","PALERMO"
"45533","Robo","NO","PALERMO"
"45536","Robo","NO","PALERMO"
"45537","Robo","NO","PALERMO"
"45539","Robo","NO","PALERMO"
"45542","Robo","NO","PALERMO"
"45543","Robo","NO","PALERMO"
"45544","Robo","NO","PALERMO"
"45545","Robo","NO","PALERMO"
"45546","Robo","NO","PALERMO"
"45547","Robo","NO","PALERMO"
"45548","Robo","NO","PALERMO"
"45549","Robo","NO","PALERMO"
"45551","Robo","NO","PALERMO"
"45554","Robo","NO","PALERMO"
"45555","Robo","NO","PALERMO"
"45557","Robo","NO","PALERMO"
"45559","Robo","NO","PALERMO"
"45564","Robo","NO","PALERMO"
"45565","Robo","NO","PALERMO"
"45566","Robo","NO","PALERMO"
"45567","Robo","NO","PALERMO"
"45568","Robo","NO","PALERMO"
"45569","Robo","NO","PALERMO"
"45572","Robo","NO","PALERMO"
"45575","Robo","NO","PALERMO"
"45577","Robo","NO","PALERMO"
