"ID_SUELDO","SUELDO_NETO","ID_PUESTO_TRABAJO","FECHA"
"4623","1050000","10","2/25/2025"
"3785","1065300","10","2/25/2025"
"4439","1079000","10","2/25/2025"
"1965","1092620","10","2/25/2025"
"3954","1100000","10","2/25/2025"
"4694","1100000","10","2/25/2025"
"2858","1100000","10","2/25/2025"
"2330","1100000","10","2/25/2025"
"4960","1120000","10","2/25/2025"
"4342","1133186","10","2/25/2025"
"4890","1140000","10","2/25/2025"
"2975","1141607","10","2/25/2025"
"4778","1152388","10","2/25/2025"
"4927","1185000","10","2/25/2025"
"4779","1196000","10","2/25/2025"
"2954","1198000","10","2/25/2025"
"4677","1200000","10","2/25/2025"
"4660","1200000","10","2/25/2025"
"4982","1200000","10","2/25/2025"
"2944","1200000","10","2/25/2025"
"3936","1200059","10","2/25/2025"
"5118","1208480","10","2/25/2025"
"3141","1210140","10","2/25/2025"
"4144","1216000","10","2/25/2025"
"2135","1250000","10","2/25/2025"
"3030","1250000","10","2/25/2025"
"5061","1250000","10","2/25/2025"
"3168","1268127","10","2/25/2025"
"2189","1270000","10","2/25/2025"
"3868","1275000","10","2/25/2025"
"2788","1288000","10","2/25/2025"
"4296","1300000","10","2/25/2025"
"2912","1305500","10","2/25/2025"
"2495","1313000","10","2/25/2025"
"4186","1328000","10","2/25/2025"
"2645","1338748","10","2/25/2025"
"3745","1348455","10","2/25/2025"
"3498","1371289","10","2/25/2025"
"3220","1372784","10","2/25/2025"
"1927","1400000","10","2/25/2025"
"4435","1400000","10","2/25/2025"
"4401","1460000","10","2/25/2025"
"3485","1460000","10","2/25/2025"
"2563","1477864","10","2/25/2025"
"4922","1490000","10","2/25/2025"
"4214","1491033","10","2/25/2025"
"3970","1500000","10","2/25/2025"
"3233","1500000","10","2/25/2025"
"5273","1550000","10","2/25/2025"
"4430","1560000","10","2/25/2025"
"3811","1570020","10","2/25/2025"
"3067","1600000","10","2/25/2025"
"2570","1617000","10","2/25/2025"
"2530","1632254","10","2/25/2025"
"4539","1635000","10","2/25/2025"
"4198","1650000","10","2/25/2025"
"5244","1671336","10","2/25/2025"
"1959","1701000","10","2/25/2025"
"1967","1730000","10","2/25/2025"
"2439","1760000","10","2/25/2025"
"3514","1764488","10","2/25/2025"
"3861","1790000","10","2/25/2025"
"4483","1800000","10","2/25/2025"
"4312","1800000","10","2/25/2025"
"4727","1800000","10","2/25/2025"
"4908","1825000","10","2/25/2025"
"4795","1842657","10","2/25/2025"
"2202","1850000","10","2/25/2025"
"3564","1850000","10","2/25/2025"
"4474","1866000","10","2/25/2025"
"3896","1880000","10","2/25/2025"
"2825","1900000","10","2/25/2025"
"3461","1900000","10","2/25/2025"
"2148","1900000","10","2/25/2025"
"3419","1900000","10","2/25/2025"
"2560","1935000","10","2/25/2025"
"2592","1950000","10","2/25/2025"
"1978","1970000","10","2/25/2025"
"3267","1998000","10","2/25/2025"
"4349","2000000","10","2/25/2025"
"1923","2065630","10","2/25/2025"
"2501","2075000","10","2/25/2025"
"3619","2100000","10","2/25/2025"
"3235","2177395","10","2/25/2025"
"1985","2200000","10","2/25/2025"
"4426","2200000","10","2/25/2025"
"2754","2200000","10","2/25/2025"
"2480","2240000","10","2/25/2025"
"4797","2280000","10","2/25/2025"
"4672","2300000","10","2/25/2025"
"2790","2600000","10","2/25/2025"
"3307","400000","14","2/25/2025"
"3872","580000","13","2/25/2025"
"3239","599000","13","2/25/2025"
"3027","607816","1","2/25/2025"
"4410","650000","14","2/25/2025"
"2531","655000","13","2/25/2025"
"3722","673000","1","2/25/2025"
"2938","700000","1","2/25/2025"
"2217","700000","2","2/25/2025"
"4772","736520","14","2/25/2025"
"3630","780000","13","2/25/2025"
"2421","788630","1","2/25/2025"
"2768","795231","1","2/25/2025"
"2186","803000","4","2/25/2025"
"4400","808000","1","2/25/2025"
"4120","813000","1","2/25/2025"
"2601","820000","1","2/25/2025"
"2455","824733","3","2/25/2025"
"5129","828439","13","2/25/2025"
"3388","831501","13","2/25/2025"
"3045","844726","1","2/25/2025"
"2076","845000","14","2/25/2025"
"2640","846276","13","2/25/2025"
"3978","849000","13","2/25/2025"
"2677","850000","13","2/25/2025"
"3481","850000","13","2/25/2025"
"3952","850000","13","2/25/2025"
"4641","850923","1","2/25/2025"
"4628","865000","4","2/25/2025"
"3370","880000","4","2/25/2025"
"2357","881373","2","2/25/2025"
"2758","888382","2","2/25/2025"
"4606","900059","1","2/25/2025"
"2660","917027","13","2/25/2025"
"3661","923032","4","2/25/2025"
"2277","927000","14","2/25/2025"
"2925","934000","4","2/25/2025"
"3064","950000","1","2/25/2025"
"2783","970000","14","2/25/2025"
"2128","975000","1","2/25/2025"
"3416","980000","8","2/25/2025"
"3093","1000000","4","2/25/2025"
"2830","1000000","1","2/25/2025"
"2320","1001189","14","2/25/2025"
"4356","1008195","2","2/25/2025"
"4314","1026000","3","2/25/2025"
"5192","1049950","2","2/25/2025"
"4567","1050000","1","2/25/2025"
"3716","1070000","14","2/25/2025"
"5178","1092000","1","2/25/2025"
"4366","1139000","1","2/25/2025"
"4363","1150000","2","2/25/2025"
"3204","1150000","2","2/25/2025"
"2913","1150000","14","2/25/2025"
"3031","1162000","1","2/25/2025"
"3831","1168969","1","2/25/2025"
"4226","1180000","14","2/25/2025"
"4295","1200000","3","2/25/2025"
"5005","1200000","1","2/25/2025"
"2022","1200000","13","2/25/2025"
"3102","1213907","2","2/25/2025"
"4313","1224369","2","2/25/2025"
"3805","1224800","14","2/25/2025"
"1958","1225000","13","2/25/2025"
"3270","1231715","4","2/25/2025"
"4753","1232550","14","2/25/2025"
"5254","1237000","14","2/25/2025"
"2544","1240000","2","2/25/2025"
"2541","1249420","3","2/25/2025"
"2009","1258000","7","2/25/2025"
"5184","1260000","8","2/25/2025"
"4359","1266000","2","2/25/2025"
"2283","1270000","14","2/25/2025"
"3960","1277770","2","2/25/2025"
"4566","1283758","7","2/25/2025"
"3474","1292000","2","2/25/2025"
"3688","1295000","14","2/25/2025"
"3332","1297692","14","2/25/2025"
"5094","1300000","2","2/25/2025"
"2424","1300000","2","2/25/2025"
"2216","1300000","13","2/25/2025"
"5219","1300000","14","2/25/2025"
"3022","1300000","14","2/25/2025"
"2803","1300000","14","2/25/2025"
"3790","1300000","14","2/25/2025"
"3707","1300000","14","2/25/2025"
"4321","1300000","2","2/25/2025"
"4718","1300000","1","2/25/2025"
"4331","1301630","6","2/25/2025"
"4534","1323850","14","2/25/2025"
"3009","1325000","2","2/25/2025"
"1972","1326200","14","2/25/2025"
"1950","1328000","14","2/25/2025"
"5147","1328000","15","2/25/2025"
"2032","1330000","13","2/25/2025"
"4805","1339000","1","2/25/2025"
"2093","1339018","4","2/25/2025"
"3236","1340000","13","2/25/2025"
"2503","1387714","2","2/25/2025"
"3258","1396000","15","2/25/2025"
"2310","1400000","1","2/25/2025"
"2889","1400000","14","2/25/2025"
"4538","1400000","14","2/25/2025"
"5143","1400000","14","2/25/2025"
"2987","1406433","14","2/25/2025"
"2844","1422342","3","2/25/2025"
"2094","1430127","1","2/25/2025"
"4054","1435000","7","2/25/2025"
"3156","1443995","7","2/25/2025"
"2348","1450000","2","2/25/2025"
"4332","1452000","15","2/25/2025"
