Periodo,Sector,Departamento,Cargo,Provincia,Sueldo_Min_ARS,Sueldo_Max_ARS,Sueldo_Min_USD,Sueldo_Max_USD
2024-Q3,IT,IT,Arquitecto de Software,Buenos Aires,6675075,9141144,5986.61434977578,8198.33542600897
2024-Q3,IT,IT,Arquitecto de Software,Cuyo,6141069,8409852.48,5507.68520179372,7542.46859192825
2024-Q3,IT,IT,Arquitecto de Software,Litoral,6141069,8409852.48,5507.68520179372,7542.46859192825
2024-Q3,IT,IT,Arquitecto de Software,NEA,5874066,8044206.72,5268.22062780269,7214.53517488789
2024-Q3,IT,IT,Arquitecto de Software,NOA,5874066,8044206.72,5268.22062780269,7214.53517488789
2024-Q3,IT,IT,Arquitecto de Software,Patagonia,6675075,9141144,5986.61434977578,8198.33542600897
2024-Q3,Lab & Pharma,IT,Arquitecto de Software,Buenos Aires,6675075,9141144,5986.61434977578,8198.33542600897
2024-Q3,Lab & Pharma,IT,Arquitecto de Software,Cuyo,6141069,8409852.48,5507.68520179372,7542.46859192825
2024-Q3,Lab & Pharma,IT,Arquitecto de Software,Litoral,6141069,8409852.48,5507.68520179372,7542.46859192825
2024-Q3,Lab & Pharma,IT,Arquitecto de Software,NEA,5874066,8044206.72,5268.22062780269,7214.53517488789
2024-Q3,Lab & Pharma,IT,Arquitecto de Software,NOA,5874066,8044206.72,5268.22062780269,7214.53517488789
2024-Q3,Lab & Pharma,IT,Arquitecto de Software,Patagonia,6675075,9141144,5986.61434977578,8198.33542600897
2024-Q3,Manufactura,IT,Arquitecto de Software,Buenos Aires,5358170,6882271,4805.533632287,6172.44035874439
2024-Q3,Manufactura,IT,Arquitecto de Software,Cuyo,4929516.4,6331689.32,4421.09094170404,5678.64513004484
2024-Q3,Manufactura,IT,Arquitecto de Software,Litoral,4929516.4,6331689.32,4421.09094170404,5678.64513004484
2024-Q3,Manufactura,IT,Arquitecto de Software,NEA,4715189.6,6056398.48,4228.86959641256,5431.74751569507
2024-Q3,Manufactura,IT,Arquitecto de Software,NOA,4715189.6,6056398.48,4228.86959641256,5431.74751569507
2024-Q3,Manufactura,IT,Arquitecto de Software,Patagonia,5358170,6882271,4805.533632287,6172.44035874439
2024-Q3,Retail & Comercio,IT,Arquitecto de Software,Buenos Aires,5358170,6882271,4805.533632287,6172.44035874439
2024-Q3,Retail & Comercio,IT,Arquitecto de Software,Cuyo,4929516.4,6331689.32,4421.09094170404,5678.64513004484
2024-Q3,Retail & Comercio,IT,Arquitecto de Software,Litoral,4929516.4,6331689.32,4421.09094170404,5678.64513004484
2024-Q3,Retail & Comercio,IT,Arquitecto de Software,NEA,4715189.6,6056398.48,4228.86959641256,5431.74751569507
2024-Q3,Retail & Comercio,IT,Arquitecto de Software,NOA,4715189.6,6056398.48,4228.86959641256,5431.74751569507
2024-Q3,Retail & Comercio,IT,Arquitecto de Software,Patagonia,5358170,6882271,4805.533632287,6172.44035874439
2024-Q3,Servicios,IT,Arquitecto de Software,Buenos Aires,5358170,6882271,4805.533632287,6172.44035874439
2024-Q3,Servicios,IT,Arquitecto de Software,Cuyo,4929516.4,6331689.32,4421.09094170404,5678.64513004484
2024-Q3,Servicios,IT,Arquitecto de Software,Litoral,4929516.4,6331689.32,4421.09094170404,5678.64513004484
2024-Q3,Servicios,IT,Arquitecto de Software,NEA,4715189.6,6056398.48,4228.86959641256,5431.74751569507
2024-Q3,Servicios,IT,Arquitecto de Software,NOA,4715189.6,6056398.48,4228.86959641256,5431.74751569507
2024-Q3,Servicios,IT,Arquitecto de Software,Patagonia,5358170,6882271,4805.533632287,6172.44035874439
